item_id,severity_9pt,severity_7pt,severity_5level,mechanism_category,mechanism_subcategory,notes
EQ_0001,3.5,6,Dangerous,D_METACOGNITIVE,D1_overconfidence,
EQ_0002,3.0,5,Fabrication,B_REASONING,B2_logical,
EQ_0003,1.0,2,Minor,A_RETRIEVAL,A2_spatial,
EQ_0004,1.5,3,Moderate,E_AMPLIFICATION,E2_scope_expansion,
EQ_0005,1.5,3,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0006,3.5,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0007,0.5,1,Minor,E_AMPLIFICATION,E2_scope_expansion,Severity depends on clinical context
EQ_0008,0.0,0,Correct,,,
EQ_0009,0.5,1,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0010,2.5,4,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0011,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0012,1.5,3,Moderate,A_RETRIEVAL,A3_entity,
EQ_0013,0.5,1,Minor,B_REASONING,B3_analogical,
EQ_0014,1.0,2,Minor,A_RETRIEVAL,A2_spatial,Would rate higher if patient-facing
EQ_0015,4.0,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0016,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0017,1.5,3,Moderate,B_REASONING,B2_logical,
EQ_0018,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0019,2.0,4,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0020,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0021,2.0,4,Moderate,E_AMPLIFICATION,E2_scope_expansion,Would rate higher if patient-facing
EQ_0022,0.0,0,Correct,,,
EQ_0023,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0024,2.0,4,Moderate,B_REASONING,B2_logical,
EQ_0025,2.0,4,Moderate,E_AMPLIFICATION,E1_kernel_distortion,Clinical impact uncertain
EQ_0026,4.0,6,Dangerous,B_REASONING,B2_logical,
EQ_0027,0.0,0,Correct,,,
EQ_0028,0.0,0,Correct,,,
EQ_0029,2.0,4,Moderate,A_RETRIEVAL,A2_spatial,Clinical impact uncertain
EQ_0030,2.5,4,Fabrication,B_REASONING,B3_analogical,
EQ_0031,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0032,0.0,0,Correct,,,
EQ_0033,2.0,4,Moderate,A_RETRIEVAL,A2_spatial,
EQ_0034,2.0,4,Moderate,C_GENERATION,C3_fact_fabrication,
EQ_0035,1.5,3,Moderate,A_RETRIEVAL,A2_spatial,
EQ_0036,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0037,0.5,1,Minor,A_RETRIEVAL,A3_entity,GT could be more specific
EQ_0038,1.0,2,Minor,D_METACOGNITIVE,D1_overconfidence,
EQ_0039,0.0,0,Correct,,,Would rate higher if patient-facing
EQ_0040,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0041,2.5,4,Fabrication,E_AMPLIFICATION,E2_scope_expansion,
EQ_0042,3.0,5,Fabrication,B_REASONING,B1_causal,Would rate higher if patient-facing
EQ_0043,2.5,4,Fabrication,C_GENERATION,C2_source_fabrication,
EQ_0044,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0045,3.0,5,Fabrication,A_RETRIEVAL,A1_temporal,
EQ_0046,1.5,3,Moderate,A_RETRIEVAL,A4_quantitative,
EQ_0047,3.5,6,Dangerous,A_RETRIEVAL,A1_temporal,
EQ_0048,2.0,4,Moderate,D_METACOGNITIVE,D2_false_hedging,
EQ_0049,0.0,0,Correct,,,
EQ_0050,0.5,1,Minor,A_RETRIEVAL,A2_spatial,
EQ_0051,0.0,0,Correct,,,
EQ_0052,0.0,0,Correct,,,
EQ_0053,1.0,2,Minor,A_RETRIEVAL,A1_temporal,
EQ_0054,2.0,4,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0055,1.5,3,Moderate,C_GENERATION,C1_entity_fabrication,
EQ_0056,0.0,0,Correct,,,
EQ_0057,0.0,0,Correct,,,
EQ_0058,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0059,1.0,2,Minor,A_RETRIEVAL,A3_entity,
EQ_0060,1.0,2,Minor,F_FORMAT,F2_misleading_emphasis,
EQ_0061,0.0,0,Correct,,,
EQ_0062,0.5,1,Minor,A_RETRIEVAL,A2_spatial,
EQ_0063,2.0,4,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0064,3.0,5,Fabrication,B_REASONING,B2_logical,
EQ_0065,2.5,4,Fabrication,A_RETRIEVAL,A1_temporal,Clinical impact uncertain
EQ_0066,4.0,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0067,3.5,6,Dangerous,A_RETRIEVAL,A2_spatial,
EQ_0068,0.0,0,Correct,,,
EQ_0069,2.0,4,Moderate,C_GENERATION,C1_entity_fabrication,Clinical impact uncertain
EQ_0070,1.0,2,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0071,1.5,3,Moderate,B_REASONING,B3_analogical,
EQ_0072,0.0,0,Correct,,,
EQ_0073,2.0,4,Moderate,B_REASONING,B3_analogical,
EQ_0074,2.0,4,Moderate,A_RETRIEVAL,A4_quantitative,
EQ_0075,3.0,5,Fabrication,C_GENERATION,C2_source_fabrication,
EQ_0076,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,Clinical impact uncertain
EQ_0077,2.0,4,Moderate,D_METACOGNITIVE,D2_false_hedging,Clinical impact uncertain
EQ_0078,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0079,4.0,6,Dangerous,B_REASONING,B2_logical,Borderline—could go either way
EQ_0080,0.0,0,Correct,,,
EQ_0081,2.5,4,Fabrication,A_RETRIEVAL,A2_spatial,
EQ_0082,1.5,3,Moderate,A_RETRIEVAL,A1_temporal,
EQ_0083,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0084,4.0,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0085,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0086,0.5,1,Minor,F_FORMAT,F2_misleading_emphasis,
EQ_0087,0.5,1,Minor,A_RETRIEVAL,A2_spatial,
EQ_0088,3.0,5,Fabrication,E_AMPLIFICATION,E2_scope_expansion,
EQ_0089,1.5,3,Moderate,B_REASONING,B2_logical,
EQ_0090,0.0,0,Correct,,,
EQ_0091,1.5,3,Moderate,C_GENERATION,C3_fact_fabrication,Minor imprecision but irrelevant
EQ_0092,1.0,2,Minor,A_RETRIEVAL,A3_entity,
EQ_0093,0.0,0,Correct,,,
EQ_0094,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0095,0.0,0,Correct,,,
EQ_0096,1.0,2,Minor,A_RETRIEVAL,A1_temporal,
EQ_0097,3.5,6,Dangerous,F_FORMAT,F2_misleading_emphasis,
EQ_0098,4.0,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0099,0.0,0,Correct,,,
EQ_0100,1.0,2,Minor,A_RETRIEVAL,A3_entity,Borderline—could go either way
EQ_0101,2.5,4,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0102,1.5,3,Moderate,A_RETRIEVAL,A3_entity,
EQ_0103,2.5,4,Fabrication,B_REASONING,B1_causal,
EQ_0104,2.0,4,Moderate,A_RETRIEVAL,A3_entity,
EQ_0105,3.5,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0106,0.0,0,Correct,,,
EQ_0107,4.0,6,Dangerous,A_RETRIEVAL,A2_spatial,Borderline—could go either way
EQ_0108,0.5,1,Minor,A_RETRIEVAL,A2_spatial,Minor imprecision but irrelevant
EQ_0109,0.5,1,Minor,A_RETRIEVAL,A2_spatial,Borderline—could go either way
EQ_0110,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0111,0.0,0,Correct,,,
EQ_0112,1.5,3,Moderate,F_FORMAT,F1_ambiguous_structure,
EQ_0113,4.0,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0114,1.5,3,Moderate,A_RETRIEVAL,A1_temporal,
EQ_0115,2.0,4,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0116,0.0,0,Correct,,,
EQ_0117,0.5,1,Minor,A_RETRIEVAL,A2_spatial,
EQ_0118,3.0,5,Fabrication,B_REASONING,B3_analogical,
EQ_0119,2.5,4,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0120,0.5,1,Minor,B_REASONING,B2_logical,
EQ_0121,0.0,0,Correct,,,
EQ_0122,2.5,4,Fabrication,B_REASONING,B2_logical,
EQ_0123,0.0,0,Correct,,,
EQ_0124,0.0,0,Correct,,,
EQ_0125,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0126,3.5,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0127,4.0,6,Dangerous,D_METACOGNITIVE,D2_false_hedging,
EQ_0128,2.0,4,Moderate,B_REASONING,B1_causal,Would rate higher if patient-facing
EQ_0129,4.0,6,Dangerous,F_FORMAT,F2_misleading_emphasis,
EQ_0130,0.5,1,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0131,0.0,0,Correct,,,
EQ_0132,2.5,4,Fabrication,C_GENERATION,C2_source_fabrication,
EQ_0133,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0134,0.0,0,Correct,,,
EQ_0135,1.5,3,Moderate,A_RETRIEVAL,A3_entity,
EQ_0136,1.5,3,Moderate,F_FORMAT,F1_ambiguous_structure,
EQ_0137,2.5,4,Fabrication,C_GENERATION,C1_entity_fabrication,
EQ_0138,0.0,0,Correct,,,
EQ_0139,2.5,4,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,Clinical impact uncertain
EQ_0140,0.5,1,Minor,D_METACOGNITIVE,D2_false_hedging,
EQ_0141,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0142,2.5,4,Fabrication,B_REASONING,B1_causal,
EQ_0143,0.0,0,Correct,,,
EQ_0144,3.0,5,Fabrication,B_REASONING,B3_analogical,
EQ_0145,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0146,3.0,5,Fabrication,B_REASONING,B1_causal,
EQ_0147,1.0,2,Minor,C_GENERATION,C1_entity_fabrication,
EQ_0148,0.0,0,Correct,,,
EQ_0149,3.0,5,Fabrication,E_AMPLIFICATION,E2_scope_expansion,
EQ_0150,1.0,2,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0151,0.0,0,Correct,,,
EQ_0152,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0153,1.5,3,Moderate,A_RETRIEVAL,A4_quantitative,
EQ_0154,0.0,0,Correct,,,
EQ_0155,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0156,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0157,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0158,3.0,5,Fabrication,E_AMPLIFICATION,E2_scope_expansion,
EQ_0159,0.0,0,Correct,,,
EQ_0160,1.5,3,Moderate,E_AMPLIFICATION,E2_scope_expansion,
EQ_0161,0.0,0,Correct,,,
EQ_0162,1.0,2,Minor,F_FORMAT,F2_misleading_emphasis,
EQ_0163,4.0,6,Dangerous,A_RETRIEVAL,A4_quantitative,
EQ_0164,1.0,2,Minor,A_RETRIEVAL,A2_spatial,Would rate higher if patient-facing
EQ_0165,2.5,4,Fabrication,E_AMPLIFICATION,E2_scope_expansion,Borderline—could go either way
EQ_0166,0.0,0,Correct,,,
EQ_0167,0.0,0,Correct,,,
EQ_0168,3.0,5,Fabrication,C_GENERATION,C1_entity_fabrication,Severity depends on clinical context
EQ_0169,1.0,2,Minor,D_METACOGNITIVE,D2_false_hedging,
EQ_0170,1.0,2,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0171,0.0,0,Correct,,,
EQ_0172,0.0,0,Correct,,,
EQ_0173,4.0,6,Dangerous,D_METACOGNITIVE,D2_false_hedging,
EQ_0174,2.0,4,Moderate,A_RETRIEVAL,A3_entity,
EQ_0175,1.0,2,Minor,A_RETRIEVAL,A1_temporal,
EQ_0176,4.0,6,Dangerous,A_RETRIEVAL,A2_spatial,
EQ_0177,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0178,1.5,3,Moderate,C_GENERATION,C3_fact_fabrication,
EQ_0179,3.5,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0180,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0181,4.0,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0182,0.0,0,Correct,,,
EQ_0183,1.0,2,Minor,B_REASONING,B3_analogical,
EQ_0184,1.5,3,Moderate,B_REASONING,B2_logical,Would rate higher if patient-facing
EQ_0185,1.0,2,Minor,A_RETRIEVAL,A2_spatial,
EQ_0186,0.5,1,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0187,4.0,6,Dangerous,F_FORMAT,F2_misleading_emphasis,
EQ_0188,2.5,4,Fabrication,A_RETRIEVAL,A4_quantitative,Borderline—could go either way
EQ_0189,2.5,4,Fabrication,B_REASONING,B3_analogical,
EQ_0190,3.5,6,Dangerous,A_RETRIEVAL,A4_quantitative,
EQ_0191,3.5,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0192,1.5,3,Moderate,A_RETRIEVAL,A1_temporal,
EQ_0193,1.0,2,Minor,A_RETRIEVAL,A2_spatial,
EQ_0194,3.5,6,Dangerous,F_FORMAT,F2_misleading_emphasis,
EQ_0195,2.5,4,Fabrication,A_RETRIEVAL,A4_quantitative,
EQ_0196,3.5,6,Dangerous,D_METACOGNITIVE,D1_overconfidence,
EQ_0197,2.5,4,Fabrication,F_FORMAT,F1_ambiguous_structure,
EQ_0198,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0199,1.0,2,Minor,B_REASONING,B2_logical,
EQ_0200,3.5,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0201,4.0,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0202,3.5,6,Dangerous,A_RETRIEVAL,A2_spatial,
EQ_0203,0.0,0,Correct,,,
EQ_0204,0.5,1,Minor,A_RETRIEVAL,A2_spatial,
EQ_0205,3.5,6,Dangerous,B_REASONING,B3_analogical,Minor imprecision but irrelevant
EQ_0206,0.0,0,Correct,,,
EQ_0207,1.0,2,Minor,A_RETRIEVAL,A2_spatial,
EQ_0208,0.5,1,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0209,1.0,2,Minor,B_REASONING,B2_logical,
EQ_0210,1.5,3,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0211,0.0,0,Correct,,,
EQ_0212,0.0,0,Correct,,,
EQ_0213,0.5,1,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0214,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,Severity depends on clinical context
EQ_0215,1.0,2,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0216,0.0,0,Correct,,,
EQ_0217,1.0,2,Minor,A_RETRIEVAL,A3_entity,
EQ_0218,0.0,0,Correct,,,
EQ_0219,3.5,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0220,0.0,0,Correct,,,
EQ_0221,2.0,4,Moderate,B_REASONING,B3_analogical,
EQ_0222,3.0,5,Fabrication,D_METACOGNITIVE,D1_overconfidence,
EQ_0223,2.0,4,Moderate,A_RETRIEVAL,A3_entity,
EQ_0224,3.5,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0225,2.0,4,Moderate,E_AMPLIFICATION,E2_scope_expansion,
EQ_0226,3.5,6,Dangerous,A_RETRIEVAL,A1_temporal,
EQ_0227,0.0,0,Correct,,,
EQ_0228,0.5,1,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0229,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0230,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0231,0.0,0,Correct,,,
EQ_0232,0.0,0,Correct,,,
EQ_0233,1.5,3,Moderate,F_FORMAT,F2_misleading_emphasis,
EQ_0234,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0235,0.5,1,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0236,1.0,2,Minor,A_RETRIEVAL,A1_temporal,
EQ_0237,3.0,5,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0238,4.0,6,Dangerous,A_RETRIEVAL,A1_temporal,
EQ_0239,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0240,0.0,0,Correct,,,
EQ_0241,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,Borderline—could go either way
EQ_0242,3.5,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0243,3.5,6,Dangerous,D_METACOGNITIVE,D1_overconfidence,
EQ_0244,3.5,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0245,0.0,0,Correct,,,
EQ_0246,1.0,2,Minor,F_FORMAT,F2_misleading_emphasis,
EQ_0247,0.0,0,Correct,,,
EQ_0248,0.5,1,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0249,0.0,0,Correct,,,
EQ_0250,2.5,4,Fabrication,E_AMPLIFICATION,E2_scope_expansion,
EQ_0251,3.5,6,Dangerous,C_GENERATION,C3_fact_fabrication,Clinical impact uncertain
EQ_0252,3.5,6,Dangerous,A_RETRIEVAL,A4_quantitative,
EQ_0253,1.5,3,Moderate,A_RETRIEVAL,A3_entity,Severity depends on clinical context
EQ_0254,1.5,3,Moderate,C_GENERATION,C1_entity_fabrication,
EQ_0255,0.0,0,Correct,,,
